Price,Adj Close,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,,
2023-04-19,61636.125,65500.0,65800.0,65300.0,65500.0,10255985
2023-04-20,61447.921875,65300.0,65300.0,64600.0,65100.0,9501169
2023-04-21,61824.328125,65700.0,65900.0,65400.0,65800.0,10538622
2023-04-24,61353.828125,65200.0,65700.0,64800.0,65300.0,12986581
2023-04-25,59848.2109375,63600.0,65400.0,63400.0,65300.0,16193271
2023-04-26,60318.71875,64100.0,64300.0,63300.0,63600.0,12664541
2023-04-27,60789.23046875,64600.0,65000.0,63300.0,64100.0,14779601
2023-04-28,61636.125,65500.0,65900.0,65000.0,65200.0,19699481
2023-05-02,61824.328125,65700.0,66300.0,65100.0,66000.0,14396948
2023-05-03,61542.03515625,65400.0,65600.0,64900.0,65100.0,8876749
2023-05-04,61259.72265625,65100.0,65700.0,64700.0,65600.0,9791064
2023-05-08,62012.53515625,65900.0,66300.0,65400.0,66300.0,9405365
2023-05-09,61447.921875,65300.0,65800.0,65100.0,65800.0,9366861
2023-05-10,60789.23046875,64600.0,65500.0,64300.0,65500.0,13057727
2023-05-11,60412.8125,64200.0,65100.0,64200.0,64700.0,11648905
2023-05-12,60318.71875,64100.0,64600.0,63600.0,63700.0,8693913
2023-05-15,60695.12890625,64500.0,64600.0,63900.0,64100.0,8172021
2023-05-16,61542.03515625,65400.0,65900.0,65300.0,65800.0,12334657
2023-05-17,61165.625,65000.0,65900.0,64800.0,65900.0,10745504
2023-05-18,62294.83984375,66200.0,66200.0,65700.0,66000.0,14431704
2023-05-19,64365.0625,68400.0,68400.0,67500.0,67800.0,20349345
2023-05-22,64459.15625,68500.0,69000.0,68000.0,68400.0,14470308
2023-05-23,64365.0625,68400.0,68700.0,68100.0,68500.0,8561643
2023-05-24,64459.15625,68500.0,68700.0,68000.0,68100.0,8192896
2023-05-25,64741.46484375,68800.0,70000.0,68700.0,69900.0,14231160
2023-05-26,66152.9765625,70300.0,70400.0,69500.0,69800.0,19549511
2023-05-30,68035.0,72300.0,72300.0,71200.0,71300.0,27476897
2023-05-31,67188.09375,71400.0,72500.0,71000.0,72400.0,25666087
2023-06-01,66717.578125,70900.0,71600.0,70600.0,70900.0,14669296
2023-06-02,67940.8984375,72200.0,72200.0,71600.0,71700.0,12161798
2023-06-05,67470.3984375,71700.0,72700.0,71400.0,72700.0,12686829
2023-06-07,66811.6796875,71000.0,71600.0,70800.0,71300.0,14796613
2023-06-08,66717.578125,70900.0,70900.0,70000.0,70400.0,19165568
2023-06-09,67752.6953125,72000.0,72300.0,70800.0,71100.0,15050209
2023-06-12,66811.6796875,71000.0,72400.0,70800.0,72100.0,12064287
2023-06-13,67752.6953125,72000.0,72200.0,71600.0,71700.0,13227285
2023-06-14,67658.6015625,71900.0,72200.0,71100.0,72100.0,12541046
2023-06-15,67282.1953125,71500.0,72300.0,71300.0,72100.0,13614994
2023-06-16,67564.5,71800.0,71900.0,70900.0,71800.0,15373696
2023-06-19,66999.890625,71200.0,71700.0,70900.0,71300.0,11100887
2023-06-20,67188.09375,71400.0,71400.0,70400.0,70700.0,11557883
2023-06-21,66341.1640625,70500.0,71200.0,70400.0,70700.0,10626603
2023-06-22,67094.0,71300.0,71500.0,70100.0,70200.0,11411007
2023-06-23,67376.2890625,71600.0,72200.0,71600.0,72000.0,12329484
2023-06-26,68129.09375,72400.0,72500.0,71500.0,71700.0,10541901
2023-06-27,68317.2890625,72600.0,72600.0,72000.0,72500.0,9442997
2023-06-28,68411.390625,72700.0,72700.0,72000.0,72600.0,8783093
2023-06-29,68469.1015625,72400.0,73400.0,72400.0,73100.0,12229967
2023-06-30,68279.9453125,72200.0,72700.0,71700.0,72500.0,11694765
2023-07-03,69036.5078125,73000.0,73200.0,72600.0,72700.0,10722181
2023-07-04,69036.5078125,73000.0,73600.0,72900.0,73400.0,10214350
2023-07-05,68090.8046875,72000.0,73300.0,71900.0,73000.0,12310610
2023-07-06,67712.5234375,71600.0,72400.0,71500.0,71900.0,14777667
2023-07-07,66104.8203125,69900.0,71400.0,69800.0,71100.0,17308877
2023-07-10,65726.5390625,69500.0,70400.0,69200.0,70000.0,11713926
2023-07-11,67617.9453125,71500.0,71500.0,70100.0,70200.0,12177392
2023-07-12,67996.234375,71900.0,72000.0,71100.0,71200.0,10375581
2023-07-13,67996.234375,71900.0,72600.0,71900.0,72400.0,14417279
2023-07-14,69414.7890625,73400.0,73400.0,72400.0,72500.0,15882519
2023-07-17,69320.21875,73300.0,73500.0,72800.0,73200.0,10060049
2023-07-18,68090.8046875,72000.0,73500.0,72000.0,73200.0,11697900
2023-07-19,67807.1015625,71700.0,72800.0,71300.0,72700.0,10896412
2023-07-20,67145.09375,71000.0,71500.0,70800.0,71100.0,9732730
2023-07-21,66483.109375,70300.0,70400.0,69400.0,70400.0,16528926
2023-07-24,66577.6796875,70400.0,70900.0,69900.0,70100.0,13418597
2023-07-25,66199.390625,70000.0,70500.0,69800.0,70000.0,14314945
2023-07-26,66010.25,69800.0,70600.0,68100.0,69800.0,30016221
2023-07-27,67807.1015625,71700.0,71700.0,69300.0,69900.0,24261179
2023-07-28,66766.828125,70600.0,72400.0,70100.0,71800.0,19420683
2023-07-31,66010.25,69800.0,71000.0,69800.0,70900.0,13035420
2023-08-01,67239.671875,71100.0,71200.0,70000.0,70100.0,12299254
2023-08-02,66104.8203125,69900.0,71000.0,69800.0,70700.0,13835020
2023-08-03,65064.55078125,68800.0,70200.0,68500.0,69900.0,20087090
2023-08-04,64591.68359375,68300.0,69100.0,68200.0,68800.0,12360193
2023-08-07,64780.83984375,68500.0,69200.0,67600.0,67700.0,10968505
2023-08-08,63929.70703125,67600.0,69100.0,67400.0,69000.0,14664709
2023-08-09,65159.11328125,68900.0,69600.0,67900.0,68000.0,17259673
2023-08-10,64307.9765625,68000.0,68500.0,67800.0,68300.0,10227311
2023-08-11,63835.1328125,67500.0,68800.0,67500.0,68400.0,9781038
2023-08-14,63645.98828125,67300.0,67900.0,66900.0,67500.0,9352343
2023-08-16,63362.26953125,67000.0,67100.0,66300.0,66700.0,13174578
2023-08-17,63078.56640625,66700.0,66800.0,66000.0,66300.0,10778652
2023-08-18,62700.29296875,66300.0,66700.0,65800.0,66000.0,11745006
2023-08-21,62984.0,66600.0,67100.0,66300.0,66600.0,9720067
2023-08-22,62984.0,66600.0,67700.0,66300.0,67200.0,10500242
2023-08-23,63456.84765625,67100.0,67100.0,66400.0,66700.0,9549352
2023-08-24,64497.12109375,68200.0,68700.0,67900.0,68300.0,15044463
2023-08-25,63456.84765625,67100.0,67400.0,66900.0,67100.0,7032462
2023-08-28,63173.13671875,66800.0,67000.0,66500.0,66800.0,5824628
2023-08-29,63173.13671875,66800.0,67200.0,66600.0,66900.0,9114352
2023-08-30,63456.84765625,67100.0,67700.0,67100.0,67300.0,9181223
2023-08-31,63267.70703125,66900.0,67200.0,66400.0,67100.0,15964630
2023-09-01,67145.09375,71000.0,71000.0,66700.0,66800.0,29738235
2023-09-04,67334.234375,71200.0,72900.0,70700.0,72900.0,26286495
2023-09-05,66861.3828125,70700.0,71500.0,70200.0,70900.0,12330239
2023-09-06,66199.390625,70000.0,70800.0,69700.0,70700.0,11414620
2023-09-07,66577.6796875,70400.0,70600.0,69600.0,70000.0,13741241
2023-09-08,66483.109375,70300.0,70300.0,69600.0,70200.0,10688118
2023-09-11,66955.953125,70800.0,70800.0,70000.0,70400.0,11785462
2023-09-12,66672.2578125,70500.0,71000.0,70400.0,70800.0,11688599
2023-09-13,67050.53125,70900.0,71600.0,70300.0,71100.0,15955797
2023-09-14,67807.1015625,71700.0,71800.0,70800.0,71200.0,21041407
2023-09-15,68090.8046875,72000.0,72300.0,71400.0,71700.0,17823512
2023-09-18,66388.5390625,70200.0,71700.0,70200.0,71300.0,16040727
2023-09-19,66010.25,69800.0,70800.0,69600.0,70400.0,11820188
2023-09-20,65821.109375,69600.0,70300.0,69500.0,70000.0,10873015
2023-09-21,65159.11328125,68900.0,69800.0,68800.0,69200.0,10796336
2023-09-22,65064.55078125,68800.0,68900.0,68300.0,68300.0,9897840
2023-09-25,65631.9765625,69400.0,69700.0,68500.0,68500.0,13582516
2023-09-26,65214.63671875,68600.0,70000.0,68400.0,70000.0,13143470
2023-09-27,65024.5078125,68400.0,69100.0,68200.0,68600.0,14886491
